claim_id,policy_id,customer_id,claim_date,claim_amount,claim_type,status
CLM00029,POL00029,CUST00029,2023-10-29,1261.43,Vandalism,Rejected
CLM00030,POL00030,CUST00030,2022-04-02,8216.27,Fire,Rejected
CLM00031,POL00031,CUST00031,2023-01-17,8689.49,Fire,Approved
CLM00032,POL00032,CUST00032,2023-02-06,3521.47,Theft,Pending
CLM00033,POL00033,CUST00033,2023-12-22,10688.24,Fire,Pending
CLM00034,POL00034,CUST00034,2023-04-08,14920.09,Vandalism,Pending
CLM00035,POL00035,CUST00035,2022-11-10,12816.21,Fire,Approved
CLM00036,POL00036,CUST00036,2023-01-21,3580.07,Collision,Pending
CLM00037,POL00037,CUST00037,2023-12-24,11443.66,Collision,Rejected
CLM00038,POL00038,CUST00038,2023-02-11,10569.61,Collision,Pending
CLM00039,POL00039,CUST00039,2023-03-11,7973.9,Fire,Approved
CLM00040,POL00040,CUST00040,2023-10-07,16241.41,Collision,Rejected
CLM00041,POL00041,CUST00041,2023-11-24,9825.0,Fire,Pending
CLM00042,POL00042,CUST00042,2022-03-05,2483.76,Vandalism,Approved
CLM00043,POL00043,CUST00043,2022-12-17,5197.51,Collision,Rejected
CLM00044,POL00044,CUST00044,2022-12-08,12279.3,Collision,Rejected
CLM00045,POL00045,CUST00045,2022-04-30,9887.52,Fire,Pending
CLM00046,POL00046,CUST00046,2022-02-18,5561.83,Theft,Pending
CLM00047,POL00047,CUST00047,2022-02-28,2243.05,Collision,Pending
CLM00048,POL00048,CUST00048,2023-08-17,8863.72,Vandalism,Approved
CLM00049,POL00049,CUST00049,2023-09-20,1279.98,Fire,Approved
CLM00050,POL00050,CUST00050,2022-03-15,10848.32,Collision,Rejected
CLM00051,POL00051,CUST00051,2023-01-07,10734.51,Collision,Approved
CLM00052,POL00052,CUST00052,2022-07-11,4765.61,Vandalism,Approved
CLM00053,POL00053,CUST00053,2022-08-25,3349.7,Theft,Rejected
CLM00054,POL00054,CUST00054,2022-01-03,19341.2,Fire,Approved
CLM00055,POL00055,CUST00055,2022-09-08,13095.4,Theft,Approved
CLM00056,POL00056,CUST00056,2023-06-01,16052.73,Vandalism,Approved
CLM00057,POL00057,CUST00057,2023-11-03,13114.24,Theft,Pending
CLM00058,POL00058,CUST00058,2023-12-01,13348.63,Theft,Approved
CLM00059,POL00059,CUST00059,2023-08-07,19940.44,Collision,Rejected
CLM00060,POL00060,CUST00060,2022-01-26,3193.94,Theft,Rejected
CLM00061,POL00061,CUST00061,2023-09-28,18882.31,Theft,Approved
CLM00062,POL00062,CUST00062,2023-03-31,16456.68,Vandalism,Approved
CLM00063,POL00063,CUST00063,2023-09-09,18564.24,Fire,Approved
CLM00064,POL00064,CUST00064,2023-03-19,14280.2,Vandalism,Approved
CLM00065,POL00065,CUST00065,2023-04-08,10622.71,Theft,Rejected
CLM00066,POL00066,CUST00066,2023-10-22,5982.48,Theft,Pending
CLM00067,POL00067,CUST00067,2023-03-22,869.83,Theft,Approved
CLM00068,POL00068,CUST00068,2022-08-15,16644.76,Theft,Approved
CLM00069,POL00069,CUST00069,2023-08-21,19597.59,Theft,Approved
CLM00070,POL00070,CUST00070,2023-08-29,8059.92,Fire,Approved
CLM00071,POL00071,CUST00071,2022-12-13,4741.31,Collision,Pending
CLM00072,POL00072,CUST00072,2022-07-03,16911.22,Vandalism,Pending
CLM00073,POL00073,CUST00073,2022-03-22,11917.1,Fire,Rejected
CLM00074,POL00074,CUST00074,2023-02-04,15084.79,Collision,Approved
CLM00075,POL00075,CUST00075,2022-03-09,14258.72,Theft,Rejected
CLM00076,POL00076,CUST00076,2023-07-27,4156.75,Vandalism,Pending
CLM00077,POL00077,CUST00077,2022-09-22,7086.26,Collision,Pending
CLM00078,POL00078,CUST00078,2023-10-10,14241.28,Theft,Rejected
CLM00079,POL00079,CUST00079,2022-05-07,11819.38,Theft,Approved
CLM00080,POL00080,CUST00080,2023-10-05,9338.7,Theft,Rejected
CLM00081,POL00081,CUST00081,2023-01-12,1866.19,Theft,Pending
CLM00082,POL00082,CUST00082,2023-10-03,9049.52,Fire,Pending
CLM00083,POL00083,CUST00083,2023-02-23,2141.64,Theft,Approved
CLM00084,POL00084,CUST00084,2022-04-01,17269.78,Fire,Approved
CLM00085,POL00085,CUST00085,2023-01-15,15925.74,Fire,Rejected
CLM00086,POL00086,CUST00086,2023-04-14,809.65,Fire,Rejected
CLM00087,POL00087,CUST00087,2023-07-10,10945.17,Fire,Approved
CLM00088,POL00088,CUST00088,2023-02-02,10678.21,Collision,Rejected
CLM00089,POL00089,CUST00089,2023-06-01,2348.52,Fire,Pending
CLM00090,POL00090,CUST00090,2022-11-16,19958.92,Vandalism,Approved
CLM00091,POL00091,CUST00091,2023-04-06,4620.22,Vandalism,Pending
CLM00092,POL00092,CUST00092,2022-07-12,289.71,Vandalism,Rejected
CLM00093,POL00093,CUST00093,2023-12-21,4181.69,Collision,Pending
CLM00094,POL00094,CUST00094,2023-05-22,9405.67,Collision,Pending
CLM00095,POL00095,CUST00095,2023-09-02,14788.51,Collision,Approved
CLM00096,POL00096,CUST00096,2023-03-22,7097.92,Theft,Pending
CLM00097,POL00097,CUST00097,2023-01-11,18645.21,Collision,Approved
CLM00098,POL00098,CUST00098,2022-04-30,7802.15,Theft,Pending
CLM00099,POL00099,CUST00099,2023-07-11,10968.43,Collision,Rejected
CLM00100,POL00100,CUST00100,2023-03-31,18863.7,Fire,Pending
CLM00101,POL00101,CUST00101,2023-07-02,5378.87,Theft,Rejected
CLM00102,POL00102,CUST00102,2023-11-09,4449.5,Fire,Approved
CLM00103,POL00103,CUST00103,2022-08-16,12332.99,Vandalism,Approved
CLM00104,POL00104,CUST00104,2023-01-03,3116.48,Theft,Rejected
CLM00105,POL00105,CUST00105,2022-09-25,4127.87,Collision,Pending
CLM00106,POL00106,CUST00106,2022-11-18,10768.11,Theft,Approved
CLM00107,POL00107,CUST00107,2022-01-27,15625.21,Theft,Approved
CLM00108,POL00108,CUST00108,2023-05-24,14317.95,Collision,Pending
CLM00109,POL00109,CUST00109,2023-12-02,9057.39,Fire,Approved
CLM00110,POL00110,CUST00110,2022-09-27,3379.65,Vandalism,Pending
CLM00111,POL00111,CUST00111,2022-08-11,4280.52,Theft,Pending
CLM00112,POL00112,CUST00112,2023-08-03,18817.8,Collision,Pending
CLM00113,POL00113,CUST00113,2022-11-03,18592.43,Vandalism,Approved
CLM00114,POL00114,CUST00114,2023-12-29,15442.62,Vandalism,Rejected
CLM00115,POL00115,CUST00115,2022-02-25,8449.12,Theft,Approved
CLM00116,POL00116,CUST00116,2022-08-31,4369.66,Collision,Pending
CLM00117,POL00117,CUST00117,2023-05-02,4215.75,Fire,Rejected
CLM00118,POL00118,CUST00118,2023-01-26,1723.1,Vandalism,Rejected
CLM00119,POL00119,CUST00119,2023-06-05,16187.54,Collision,Rejected
CLM00120,POL00120,CUST00120,2023-04-28,1727.35,Collision,Rejected
CLM00121,POL00121,CUST00121,2022-01-18,13546.25,Theft,Pending
CLM00122,POL00122,CUST00122,2023-10-27,2870.64,Theft,Rejected
CLM00123,POL00123,CUST00123,2023-08-16,15706.31,Fire,Approved
CLM00124,POL00124,CUST00124,2022-11-14,16028.17,Theft,Approved
CLM00125,POL00125,CUST00125,2023-02-09,5849.14,Fire,Pending
CLM00126,POL00126,CUST00126,2022-09-17,12957.49,Fire,Approved
CLM00127,POL00127,CUST00127,2022-03-16,9298.63,Collision,Pending
CLM00128,POL00128,CUST00128,2022-08-19,3711.64,Theft,Rejected
CLM00129,POL00129,CUST00129,2023-03-12,574.57,Theft,Pending
CLM00130,POL00130,CUST00130,2023-07-09,1587.83,Collision,Rejected
CLM00131,POL00131,CUST00131,2022-08-01,18770.32,Vandalism,Pending
CLM00132,POL00132,CUST00132,2023-10-26,12315.86,Fire,Pending
CLM00133,POL00133,CUST00133,2023-07-05,4891.94,Collision,Approved
CLM00134,POL00134,CUST00134,2022-10-22,6803.35,Collision,Rejected
CLM00135,POL00135,CUST00135,2023-09-06,15491.72,Collision,Rejected
CLM00136,POL00136,CUST00136,2022-05-01,11525.49,Theft,Rejected
CLM00137,POL00137,CUST00137,2023-06-26,19547.88,Vandalism,Approved
CLM00138,POL00138,CUST00138,2023-09-29,17749.0,Collision,Approved
CLM00139,POL00139,CUST00139,2023-12-21,10152.13,Theft,Approved
CLM00140,POL00140,CUST00140,2023-05-20,1305.0,Theft,Rejected
CLM00141,POL00141,CUST00141,2022-06-20,9808.29,Theft,Pending
CLM00142,POL00142,CUST00142,2022-07-01,15641.98,Theft,Approved
CLM00143,POL00143,CUST00143,2022-02-04,17303.73,Fire,Pending
CLM00144,POL00144,CUST00144,2022-05-27,15122.26,Collision,Pending
CLM00145,POL00145,CUST00145,2023-12-02,14395.11,Collision,Approved
CLM00146,POL00146,CUST00146,2023-03-16,18476.79,Vandalism,Rejected
CLM00147,POL00147,CUST00147,2023-10-23,2908.17,Theft,Rejected
CLM00148,POL00148,CUST00148,2023-10-15,15197.55,Collision,Rejected
CLM00149,POL00149,CUST00149,2023-08-18,3701.27,Fire,Rejected
CLM00150,POL00150,CUST00150,2022-01-10,3771.9,Collision,Pending
CLM00151,POL00151,CUST00151,2022-08-15,7457.47,Theft,Pending
CLM00152,POL00152,CUST00152,2022-04-07,4276.85,Vandalism,Approved
CLM00153,POL00153,CUST00153,2023-08-21,4497.61,Theft,Approved
CLM00154,POL00154,CUST00154,2022-07-30,10679.57,Vandalism,Approved
CLM00155,POL00155,CUST00155,2023-07-28,15250.32,Vandalism,Pending
CLM00156,POL00156,CUST00156,2022-09-30,7970.86,Collision,Approved
CLM00157,POL00157,CUST00157,2023-06-22,7035.01,Fire,Pending
CLM00158,POL00158,CUST00158,2022-11-12,3478.55,Vandalism,Pending
CLM00159,POL00159,CUST00159,2022-05-09,19577.92,Fire,Pending
CLM00160,POL00160,CUST00160,2023-11-04,2628.09,Theft,Pending
CLM00161,POL00161,CUST00161,2022-04-29,17790.64,Theft,Approved
CLM00162,POL00162,CUST00162,2022-08-28,7366.2,Fire,Approved
CLM00163,POL00163,CUST00163,2023-10-14,8800.24,Vandalism,Pending
CLM00164,POL00164,CUST00164,2022-09-12,17285.19,Collision,Approved
CLM00165,POL00165,CUST00165,2023-11-10,11706.88,Collision,Approved
CLM00166,POL00166,CUST00166,2022-05-18,8454.17,Fire,Approved
CLM00167,POL00167,CUST00167,2023-08-11,19132.81,Theft,Pending
CLM00168,POL00168,CUST00168,2022-04-25,3533.79,Fire,Pending
CLM00169,POL00169,CUST00169,2022-05-05,2595.52,Theft,Pending
CLM00170,POL00170,CUST00170,2022-05-06,3802.8,Collision,Rejected
CLM00171,POL00171,CUST00171,2023-12-11,4039.37,Vandalism,Approved
CLM00172,POL00172,CUST00172,2022-08-03,8480.99,Vandalism,Rejected
CLM00173,POL00173,CUST00173,2023-09-15,703.97,Fire,Rejected
CLM00174,POL00174,CUST00174,2023-03-24,13421.97,Theft,Rejected
CLM00175,POL00175,CUST00175,2022-03-11,10994.74,Vandalism,Rejected
CLM00176,POL00176,CUST00176,2022-04-10,12555.43,Fire,Pending
CLM00177,POL00177,CUST00177,2023-04-18,12858.85,Theft,Approved
CLM00178,POL00178,CUST00178,2022-09-12,9810.07,Fire,Rejected
CLM00179,POL00179,CUST00179,2022-02-27,13309.12,Vandalism,Rejected
CLM00180,POL00180,CUST00180,2023-10-11,17083.06,Fire,Pending
CLM00181,POL00181,CUST00181,2023-01-11,2833.69,Theft,Rejected
CLM00182,POL00182,CUST00182,2023-03-16,3866.99,Collision,Pending
CLM00183,POL00183,CUST00183,2023-09-27,19518.49,Collision,Rejected
CLM00184,POL00184,CUST00184,2022-03-01,12525.67,Vandalism,Approved
CLM00185,POL00185,CUST00185,2022-05-16,5734.48,Vandalism,Rejected
CLM00186,POL00186,CUST00186,2022-08-11,12117.93,Vandalism,Approved
CLM00187,POL00187,CUST00187,2022-06-06,6402.71,Collision,Approved
CLM00188,POL00188,CUST00188,2023-11-20,11385.48,Vandalism,Approved
CLM00189,POL00189,CUST00189,2022-09-06,1809.23,Collision,Approved
CLM00190,POL00190,CUST00190,2022-01-27,3652.87,Theft,Approved
CLM00191,POL00191,CUST00191,2023-06-11,2666.15,Theft,Rejected
CLM00192,POL00192,CUST00192,2023-02-03,9690.12,Collision,Rejected
CLM00193,POL00193,CUST00193,2022-11-24,10245.64,Fire,Pending
CLM00194,POL00194,CUST00194,2022-01-01,11725.16,Theft,Approved
CLM00195,POL00195,CUST00195,2022-01-11,11076.1,Vandalism,Approved
CLM00196,POL00196,CUST00196,2023-05-28,11843.52,Vandalism,Rejected
CLM00197,POL00197,CUST00197,2022-07-07,14730.45,Fire,Approved
CLM00198,POL00198,CUST00198,2023-08-09,12089.09,Theft,Pending
CLM00199,POL00199,CUST00199,2023-06-03,4853.12,Fire,Rejected
CLM00200,POL00200,CUST00200,2023-06-14,13181.66,Vandalism,Approved
CLM00201,POL00201,CUST00201,2022-09-04,8716.94,Vandalism,Approved
CLM00202,POL00202,CUST00202,2023-04-03,19849.81,Theft,Rejected
CLM00203,POL00203,CUST00203,2023-11-29,12224.01,Theft,Approved
CLM00204,POL00204,CUST00204,2023-07-25,18687.63,Fire,Approved
CLM00205,POL00205,CUST00205,2022-01-09,547.33,Fire,Rejected
CLM00206,POL00206,CUST00206,2022-01-20,7171.7,Fire,Approved
CLM00207,POL00207,CUST00207,2022-09-16,17389.16,Vandalism,Rejected
CLM00208,POL00208,CUST00208,2022-02-15,12535.98,Collision,Pending
CLM00209,POL00209,CUST00209,2023-12-26,7143.11,Fire,Approved
CLM00210,POL00210,CUST00210,2023-05-17,5060.53,Vandalism,Pending
CLM00211,POL00211,CUST00211,2023-09-26,6844.7,Theft,Rejected
CLM00212,POL00212,CUST00212,2023-07-28,13438.21,Collision,Pending
CLM00213,POL00213,CUST00213,2023-12-13,9102.4,Theft,Pending
CLM00214,POL00214,CUST00214,2022-10-14,12510.41,Theft,Rejected
CLM00215,POL00215,CUST00215,2023-10-07,19717.33,Fire,Pending
CLM00216,POL00216,CUST00216,2022-07-01,11521.72,Collision,Approved
CLM00217,POL00217,CUST00217,2022-12-29,14394.46,Theft,Rejected
CLM00218,POL00218,CUST00218,2023-04-12,7341.04,Fire,Approved
CLM00219,POL00219,CUST00219,2022-04-19,19946.24,Fire,Approved
CLM00220,POL00220,CUST00220,2022-06-06,609.51,Vandalism,Pending
CLM00221,POL00221,CUST00221,2022-05-15,4439.43,Vandalism,Approved
CLM00222,POL00222,CUST00222,2022-10-14,19494.71,Fire,Rejected
CLM00223,POL00223,CUST00223,2022-05-12,9937.06,Fire,Approved
CLM00224,POL00224,CUST00224,2022-01-16,2757.67,Theft,Approved
CLM00225,POL00225,CUST00225,2022-03-14,810.1,Collision,Rejected
CLM00226,POL00226,CUST00226,2023-12-03,4147.61,Vandalism,Pending
CLM00227,POL00227,CUST00227,2023-03-03,14542.03,Collision,Approved
CLM00228,POL00228,CUST00228,2023-10-20,11251.93,Vandalism,Approved
CLM00229,POL00229,CUST00229,2022-02-05,13370.69,Vandalism,Pending
CLM00230,POL00230,CUST00230,2022-11-01,3957.23,Theft,Approved
CLM00231,POL00231,CUST00231,2023-07-27,5925.12,Fire,Rejected
CLM00232,POL00232,CUST00232,2022-12-01,497.97,Fire,Approved
CLM00233,POL00233,CUST00233,2022-12-13,3070.04,Collision,Approved
CLM00234,POL00234,CUST00234,2022-05-18,3442.9,Vandalism,Approved
CLM00235,POL00235,CUST00235,2022-09-05,18731.16,Fire,Rejected
CLM00236,POL00236,CUST00236,2022-08-31,6503.32,Collision,Approved
CLM00237,POL00237,CUST00237,2022-04-06,8538.8,Theft,Rejected
CLM00238,POL00238,CUST00238,2023-08-16,14106.49,Fire,Rejected
CLM00239,POL00239,CUST00239,2023-03-21,9917.04,Fire,Pending
CLM00240,POL00240,CUST00240,2023-03-17,6317.02,Fire,Pending
CLM00241,POL00241,CUST00241,2022-05-31,12251.35,Theft,Approved
CLM00242,POL00242,CUST00242,2022-04-22,13101.45,Theft,Rejected
CLM00243,POL00243,CUST00243,2022-11-28,5515.22,Fire,Pending
CLM00244,POL00244,CUST00244,2022-10-08,14135.34,Fire,Rejected
CLM00245,POL00245,CUST00245,2022-03-17,17789.87,Vandalism,Rejected
CLM00246,POL00246,CUST00246,2023-06-28,7250.54,Vandalism,Rejected
CLM00247,POL00247,CUST00247,2023-03-24,7394.37,Theft,Pending
CLM00248,POL00248,CUST00248,2023-12-15,4088.94,Collision,Pending
CLM00249,POL00249,CUST00249,2023-09-17,8028.64,Fire,Rejected
CLM00250,POL00250,CUST00250,2023-10-29,6339.7,Fire,Rejected
CLM00251,POL00251,CUST00251,2023-06-01,6183.39,Fire,Rejected
CLM00252,POL00252,CUST00252,2022-07-11,10409.22,Vandalism,Pending
CLM00253,POL00253,CUST00253,2023-12-16,5537.48,Collision,Approved
CLM00254,POL00254,CUST00254,2023-07-14,796.8,Collision,Approved
CLM00255,POL00255,CUST00255,2023-10-02,15975.48,Theft,Pending
CLM00256,POL00256,CUST00256,2022-06-29,17892.58,Vandalism,Approved
CLM00257,POL00257,CUST00257,2023-12-06,5286.98,Fire,Rejected
CLM00258,POL00258,CUST00258,2022-09-17,5375.37,Theft,Pending
CLM00259,POL00259,CUST00259,2023-08-09,19052.26,Fire,Rejected
CLM00260,POL00260,CUST00260,2023-06-12,4403.62,Theft,Pending
CLM00261,POL00261,CUST00261,2023-02-06,1189.69,Theft,Pending
CLM00262,POL00262,CUST00262,2022-05-22,9434.7,Vandalism,Approved
CLM00263,POL00263,CUST00263,2023-12-01,13624.62,Theft,Rejected
CLM00264,POL00264,CUST00264,2023-01-30,664.03,Theft,Rejected
CLM00265,POL00265,CUST00265,2023-02-11,2776.35,Fire,Pending
CLM00266,POL00266,CUST00266,2023-08-15,1440.44,Collision,Pending
CLM00267,POL00267,CUST00267,2022-12-03,4309.95,Theft,Rejected
CLM00268,POL00268,CUST00268,2022-12-08,17104.9,Fire,Pending
CLM00269,POL00269,CUST00269,2022-02-04,5704.66,Fire,Approved
CLM00270,POL00270,CUST00270,2023-12-12,10402.62,Vandalism,Rejected
CLM00271,POL00271,CUST00271,2022-07-01,14484.61,Fire,Rejected
CLM00272,POL00272,CUST00272,2023-02-02,17252.95,Fire,Pending
CLM00273,POL00273,CUST00273,2023-08-12,2875.44,Theft,Approved
CLM00274,POL00274,CUST00274,2022-02-28,4247.49,Vandalism,Rejected
CLM00275,POL00275,CUST00275,2022-05-30,17479.3,Vandalism,Pending
CLM00276,POL00276,CUST00276,2023-09-07,5918.5,Vandalism,Approved
CLM00277,POL00277,CUST00277,2023-05-09,12246.38,Fire,Pending
CLM00278,POL00278,CUST00278,2023-02-02,7683.56,Collision,Pending
CLM00279,POL00279,CUST00279,2022-05-31,863.89,Vandalism,Approved
CLM00280,POL00280,CUST00280,2023-10-27,4293.32,Collision,Pending
CLM00281,POL00281,CUST00281,2023-10-08,10945.02,Vandalism,Rejected
CLM00282,POL00282,CUST00282,2023-03-29,1027.61,Theft,Approved
CLM00283,POL00283,CUST00283,2023-07-12,2571.69,Theft,Pending
CLM00284,POL00284,CUST00284,2023-02-01,3483.06,Vandalism,Approved
CLM00285,POL00285,CUST00285,2022-02-21,362.45,Fire,Pending
CLM00286,POL00286,CUST00286,2022-12-11,15905.95,Fire,Approved
CLM00287,POL00287,CUST00287,2022-10-21,6365.28,Theft,Rejected
CLM00288,POL00288,CUST00288,2023-09-06,9708.05,Fire,Approved
CLM00289,POL00289,CUST00289,2023-02-07,531.75,Theft,Approved
CLM00290,POL00290,CUST00290,2022-11-05,9925.64,Vandalism,Approved
CLM00291,POL00291,CUST00291,2023-09-25,5133.65,Collision,Pending
CLM00292,POL00292,CUST00292,2023-08-07,19470.61,Collision,Approved
CLM00293,POL00293,CUST00293,2022-05-28,14674.1,Theft,Rejected
CLM00294,POL00294,CUST00294,2022-10-20,16944.01,Theft,Pending
CLM00295,POL00295,CUST00295,2022-05-21,11314.33,Theft,Pending
CLM00296,POL00296,CUST00296,2022-03-19,17297.37,Theft,Pending
CLM00297,POL00297,CUST00297,2023-11-23,9628.24,Vandalism,Approved
CLM00298,POL00298,CUST00298,2023-02-05,19945.52,Collision,Pending
CLM00299,POL00299,CUST00299,2023-06-29,3467.71,Vandalism,Approved
CLM00300,POL00300,CUST00300,2022-01-02,17135.85,Collision,Rejected
CLM00301,POL00301,CUST00301,2023-01-11,9159.43,Vandalism,Approved
CLM00302,POL00302,CUST00302,2022-09-26,15744.2,Collision,Pending
CLM00303,POL00303,CUST00303,2022-08-02,6467.18,Theft,Rejected
CLM00304,POL00304,CUST00304,2023-03-05,17226.89,Vandalism,Rejected
CLM00305,POL00305,CUST00305,2022-03-09,15452.16,Collision,Rejected
CLM00306,POL00306,CUST00306,2022-10-25,719.59,Vandalism,Approved
CLM00307,POL00307,CUST00307,2023-03-07,13541.83,Fire,Rejected
CLM00308,POL00308,CUST00308,2023-07-10,15757.6,Theft,Pending
CLM00309,POL00309,CUST00309,2023-11-19,10382.74,Theft,Approved
CLM00310,POL00310,CUST00310,2023-02-22,6552.03,Vandalism,Approved
CLM00311,POL00311,CUST00311,2022-08-01,5798.63,Vandalism,Approved
CLM00312,POL00312,CUST00312,2022-10-08,2228.29,Vandalism,Approved
CLM00313,POL00313,CUST00313,2023-05-23,4167.58,Vandalism,Pending
CLM00314,POL00314,CUST00314,2022-12-01,8829.72,Fire,Pending
CLM00315,POL00315,CUST00315,2023-09-27,19660.99,Theft,Approved
CLM00316,POL00316,CUST00316,2022-05-05,110.97,Collision,Pending
CLM00317,POL00317,CUST00317,2023-04-23,15149.84,Vandalism,Rejected
CLM00318,POL00318,CUST00318,2022-09-02,4959.67,Collision,Pending
CLM00319,POL00319,CUST00319,2023-06-06,19902.43,Theft,Approved
CLM00320,POL00320,CUST00320,2023-06-02,4730.58,Fire,Approved
CLM00321,POL00321,CUST00321,2023-06-14,3258.62,Collision,Approved
CLM00322,POL00322,CUST00322,2022-01-02,7561.72,Fire,Approved
CLM00323,POL00323,CUST00323,2023-12-10,11890.16,Vandalism,Rejected
CLM00324,POL00324,CUST00324,2023-09-24,5608.67,Fire,Rejected
CLM00325,POL00325,CUST00325,2022-09-12,15309.13,Vandalism,Pending
CLM00326,POL00326,CUST00326,2023-06-25,11402.55,Fire,Approved
CLM00327,POL00327,CUST00327,2022-02-19,6291.47,Theft,Pending
CLM00328,POL00328,CUST00328,2022-03-08,6497.78,Vandalism,Approved
CLM00329,POL00329,CUST00329,2023-11-16,13059.92,Theft,Pending
CLM00330,POL00330,CUST00330,2022-12-01,10270.53,Theft,Rejected
CLM00331,POL00331,CUST00331,2022-01-15,4376.8,Vandalism,Pending
CLM00332,POL00332,CUST00332,2022-11-19,8371.72,Theft,Approved
CLM00333,POL00333,CUST00333,2023-09-04,6292.98,Theft,Approved
CLM00334,POL00334,CUST00334,2023-09-17,18398.26,Collision,Approved
CLM00335,POL00335,CUST00335,2023-04-22,10694.64,Vandalism,Pending
CLM00336,POL00336,CUST00336,2022-01-01,4302.95,Fire,Pending
CLM00337,POL00337,CUST00337,2023-07-25,13506.07,Vandalism,Pending
CLM00338,POL00338,CUST00338,2022-06-03,11105.87,Collision,Pending
CLM00339,POL00339,CUST00339,2022-03-20,1412.37,Fire,Pending
CLM00340,POL00340,CUST00340,2022-09-21,3696.12,Theft,Rejected
CLM00341,POL00341,CUST00341,2022-12-29,8850.56,Theft,Approved
CLM00342,POL00342,CUST00342,2022-01-04,12836.82,Fire,Approved
CLM00343,POL00343,CUST00343,2023-01-08,18914.91,Collision,Pending
CLM00344,POL00344,CUST00344,2022-04-28,10359.14,Collision,Rejected
CLM00345,POL00345,CUST00345,2022-12-15,18203.76,Collision,Approved
CLM00346,POL00346,CUST00346,2022-12-27,14398.33,Fire,Pending
CLM00347,POL00347,CUST00347,2022-06-26,9492.93,Vandalism,Rejected
CLM00348,POL00348,CUST00348,2022-03-12,10587.9,Theft,Rejected
CLM00349,POL00349,CUST00349,2023-10-21,7688.41,Collision,Rejected
CLM00350,POL00350,CUST00350,2022-09-02,1481.61,Vandalism,Approved
CLM00351,POL00351,CUST00351,2023-02-14,14592.35,Collision,Pending
CLM00352,POL00352,CUST00352,2023-11-08,3080.26,Fire,Pending
CLM00353,POL00353,CUST00353,2022-03-10,6589.39,Fire,Approved
CLM00354,POL00354,CUST00354,2023-11-30,14222.12,Vandalism,Pending
CLM00355,POL00355,CUST00355,2022-02-07,17100.6,Theft,Pending
CLM00356,POL00356,CUST00356,2022-05-14,17752.22,Fire,Rejected
CLM00357,POL00357,CUST00357,2022-12-05,14086.21,Vandalism,Rejected
CLM00358,POL00358,CUST00358,2022-07-30,3153.46,Theft,Approved
CLM00359,POL00359,CUST00359,2023-09-28,14980.94,Fire,Rejected
CLM00360,POL00360,CUST00360,2023-05-24,6588.59,Collision,Rejected
CLM00361,POL00361,CUST00361,2022-07-16,12936.22,Fire,Approved
CLM00362,POL00362,CUST00362,2023-02-05,14067.44,Collision,Approved
CLM00363,POL00363,CUST00363,2022-02-08,1320.54,Theft,Approved
CLM00364,POL00364,CUST00364,2023-04-01,12772.51,Vandalism,Pending
CLM00365,POL00365,CUST00365,2023-12-03,9904.94,Theft,Approved
CLM00366,POL00366,CUST00366,2023-02-12,1375.53,Collision,Rejected
CLM00367,POL00367,CUST00367,2023-02-13,4264.43,Collision,Approved
CLM00368,POL00368,CUST00368,2023-04-14,6421.61,Theft,Pending
CLM00369,POL00369,CUST00369,2023-06-28,8666.19,Fire,Approved
