policy_id,customer_id,policy_number,policy_type,start_date,end_date,premium_amount,status
POL00074,CUST00074,PN00074,Health,2020-12-09,2021-12-09,784.63,Active
POL00075,CUST00075,PN00075,Home,2020-10-27,2021-10-27,718.9,Active
POL00076,CUST00076,PN00076,Health,2022-12-29,2023-12-29,1882.05,Active
POL00077,CUST00077,PN00077,Health,2021-02-09,2022-02-09,1755.22,Active
POL00078,CUST00078,PN00078,Health,2020-06-23,2021-06-23,519.62,Active
POL00079,CUST00079,PN00079,Health,2022-09-05,2023-09-05,1949.12,Active
POL00080,CUST00080,PN00080,Home,2021-04-18,2022-04-18,355.77,Active
POL00081,CUST00081,PN00081,Life,2020-03-03,2021-03-03,1493.31,Active
POL00082,CUST00082,PN00082,Home,2021-12-20,2022-12-20,1827.12,Active
POL00083,CUST00083,PN00083,Life,2020-02-08,2021-02-07,1292.28,Active
POL00084,CUST00084,PN00084,Auto,2021-09-02,2022-09-02,605.68,Active
POL00085,CUST00085,PN00085,Home,2020-10-05,2021-10-05,698.97,Active
POL00086,CUST00086,PN00086,Auto,2021-11-04,2022-11-04,1129.77,Active
POL00087,CUST00087,PN00087,Life,2021-01-20,2022-01-20,1387.04,Active
POL00088,CUST00088,PN00088,Health,2020-02-02,2021-02-01,891.07,Active
POL00089,CUST00089,PN00089,Home,2021-12-12,2022-12-12,1196.92,Active
POL00090,CUST00090,PN00090,Life,2022-05-04,2023-05-04,886.04,Active
POL00091,CUST00091,PN00091,Auto,2020-07-25,2021-07-25,975.04,Active
POL00092,CUST00092,PN00092,Health,2020-10-24,2021-10-24,1629.69,Active
POL00093,CUST00093,PN00093,Home,2021-08-11,2022-08-11,982.07,Active
POL00094,CUST00094,PN00094,Auto,2020-11-19,2021-11-19,839.72,Active
POL00095,CUST00095,PN00095,Health,2020-05-19,2021-05-19,1454.51,Active
POL00096,CUST00096,PN00096,Home,2020-11-08,2021-11-08,1601.99,Active
POL00097,CUST00097,PN00097,Life,2022-02-10,2023-02-10,1693.4,Active
POL00098,CUST00098,PN00098,Auto,2020-08-22,2021-08-22,1838.57,Active
POL00099,CUST00099,PN00099,Health,2022-11-03,2023-11-03,1032.66,Active
POL00100,CUST00100,PN00100,Home,2022-09-12,2023-09-12,1943.54,Active
POL00101,CUST00101,PN00101,Auto,2020-09-29,2021-09-29,1835.6,Active
POL00102,CUST00102,PN00102,Health,2021-05-19,2022-05-19,1981.22,Active
POL00103,CUST00103,PN00103,Home,2020-01-17,2021-01-16,794.4,Active
POL00104,CUST00104,PN00104,Health,2021-02-14,2022-02-14,1774.46,Active
POL00105,CUST00105,PN00105,Home,2022-01-21,2023-01-21,754.46,Active
POL00106,CUST00106,PN00106,Life,2021-10-10,2022-10-10,1145.18,Active
POL00107,CUST00107,PN00107,Auto,2022-12-18,2023-12-18,1136.83,Active
POL00108,CUST00108,PN00108,Health,2022-01-17,2023-01-17,1210.24,Active
POL00109,CUST00109,PN00109,Auto,2020-12-18,2021-12-18,452.32,Active
POL00110,CUST00110,PN00110,Home,2021-06-12,2022-06-12,1557.28,Active
POL00111,CUST00111,PN00111,Life,2020-03-25,2021-03-25,1720.74,Active
POL00112,CUST00112,PN00112,Auto,2022-10-13,2023-10-13,1176.7,Active
POL00113,CUST00113,PN00113,Health,2022-02-19,2023-02-19,1354.49,Active
POL00114,CUST00114,PN00114,Auto,2021-01-02,2022-01-02,482.69,Active
POL00115,CUST00115,PN00115,Life,2020-10-14,2021-10-14,885.27,Active
POL00116,CUST00116,PN00116,Auto,2020-11-20,2021-11-20,684.39,Active
POL00117,CUST00117,PN00117,Health,2020-05-21,2021-05-21,619.45,Active
POL00118,CUST00118,PN00118,Life,2021-07-01,2022-07-01,571.28,Active
POL00119,CUST00119,PN00119,Home,2020-09-27,2021-09-27,1609.07,Active
POL00120,CUST00120,PN00120,Health,2022-06-21,2023-06-21,680.35,Active
POL00121,CUST00121,PN00121,Life,2021-06-23,2022-06-23,1536.77,Active
POL00122,CUST00122,PN00122,Health,2021-07-06,2022-07-06,1865.08,Active
POL00123,CUST00123,PN00123,Home,2021-09-14,2022-09-14,1635.26,Active
POL00124,CUST00124,PN00124,Life,2021-04-17,2022-04-17,1178.56,Active
POL00125,CUST00125,PN00125,Health,2022-10-28,2023-10-28,667.6,Active
POL00126,CUST00126,PN00126,Home,2021-06-30,2022-06-30,1521.99,Active
POL00127,CUST00127,PN00127,Home,2021-05-28,2022-05-28,637.52,Active
POL00128,CUST00128,PN00128,Life,2020-12-02,2021-12-02,1083.95,Active
POL00129,CUST00129,PN00129,Life,2022-09-28,2023-09-28,1883.89,Active
POL00130,CUST00130,PN00130,Home,2021-10-04,2022-10-04,1382.88,Active
POL00131,CUST00131,PN00131,Home,2020-02-03,2021-02-02,1043.2,Active
POL00132,CUST00132,PN00132,Home,2020-06-17,2021-06-17,1025.07,Active
POL00133,CUST00133,PN00133,Health,2021-02-10,2022-02-10,383.78,Active
POL00134,CUST00134,PN00134,Auto,2022-08-01,2023-08-01,401.49,Active
POL00135,CUST00135,PN00135,Auto,2021-10-03,2022-10-03,1531.27,Active
POL00136,CUST00136,PN00136,Home,2021-02-12,2022-02-12,1608.54,Active
POL00137,CUST00137,PN00137,Auto,2022-05-14,2023-05-14,333.81,Active
POL00138,CUST00138,PN00138,Life,2020-09-16,2021-09-16,1184.73,Active
POL00139,CUST00139,PN00139,Health,2021-05-18,2022-05-18,1639.01,Active
POL00140,CUST00140,PN00140,Auto,2021-11-23,2022-11-23,796.63,Active
POL00141,CUST00141,PN00141,Health,2020-08-22,2021-08-22,1189.69,Active
POL00142,CUST00142,PN00142,Health,2022-06-08,2023-06-08,1526.49,Active
POL00143,CUST00143,PN00143,Life,2021-08-08,2022-08-08,1058.03,Active
POL00144,CUST00144,PN00144,Life,2021-04-25,2022-04-25,802.94,Active
POL00145,CUST00145,PN00145,Home,2022-12-28,2023-12-28,1360.84,Active
POL00146,CUST00146,PN00146,Health,2021-05-09,2022-05-09,1837.34,Active
POL00147,CUST00147,PN00147,Auto,2020-04-13,2021-04-13,1324.04,Active
POL00148,CUST00148,PN00148,Health,2022-11-04,2023-11-04,628.5,Active
POL00149,CUST00149,PN00149,Home,2020-10-25,2021-10-25,1280.2,Active
POL00150,CUST00150,PN00150,Auto,2020-09-08,2021-09-08,956.98,Active
POL00151,CUST00151,PN00151,Health,2020-09-25,2021-09-25,1038.5,Active
POL00152,CUST00152,PN00152,Auto,2022-10-27,2023-10-27,1907.68,Active
POL00153,CUST00153,PN00153,Home,2022-05-26,2023-05-26,617.97,Active
POL00154,CUST00154,PN00154,Auto,2022-05-17,2023-05-17,1822.31,Active
POL00155,CUST00155,PN00155,Home,2020-01-13,2021-01-12,958.08,Active
POL00156,CUST00156,PN00156,Home,2021-09-17,2022-09-17,773.68,Active
POL00157,CUST00157,PN00157,Home,2020-01-04,2021-01-03,1524.75,Active
POL00158,CUST00158,PN00158,Home,2021-10-26,2022-10-26,967.22,Active
POL00159,CUST00159,PN00159,Life,2021-08-24,2022-08-24,897.93,Active
POL00160,CUST00160,PN00160,Home,2021-11-22,2022-11-22,800.19,Active
POL00161,CUST00161,PN00161,Health,2020-10-08,2021-10-08,1663.78,Active
POL00162,CUST00162,PN00162,Health,2021-07-31,2022-07-31,416.65,Active
POL00163,CUST00163,PN00163,Auto,2022-08-07,2023-08-07,1472.87,Active
POL00164,CUST00164,PN00164,Health,2020-06-28,2021-06-28,1412.49,Active
POL00165,CUST00165,PN00165,Health,2022-10-25,2023-10-25,805.6,Active
POL00166,CUST00166,PN00166,Home,2020-07-08,2021-07-08,1977.36,Active
POL00167,CUST00167,PN00167,Health,2021-08-06,2022-08-06,869.91,Active
POL00168,CUST00168,PN00168,Life,2020-03-06,2021-03-06,1710.82,Active
POL00169,CUST00169,PN00169,Life,2022-10-13,2023-10-13,1604.58,Active
POL00170,CUST00170,PN00170,Health,2021-01-17,2022-01-17,1427.03,Active
POL00171,CUST00171,PN00171,Life,2022-07-15,2023-07-15,1743.46,Active
POL00172,CUST00172,PN00172,Auto,2020-02-02,2021-02-01,1533.09,Active
POL00173,CUST00173,PN00173,Health,2022-08-08,2023-08-08,1370.76,Active
POL00174,CUST00174,PN00174,Auto,2021-12-18,2022-12-18,1953.8,Active
POL00175,CUST00175,PN00175,Life,2022-09-14,2023-09-14,1755.62,Active
POL00176,CUST00176,PN00176,Auto,2021-09-07,2022-09-07,1670.52,Active
POL00177,CUST00177,PN00177,Life,2022-01-10,2023-01-10,1843.08,Active
POL00178,CUST00178,PN00178,Home,2021-08-28,2022-08-28,1951.49,Active
POL00179,CUST00179,PN00179,Health,2020-07-07,2021-07-07,1085.84,Active
POL00180,CUST00180,PN00180,Health,2022-02-27,2023-02-27,1262.81,Active
POL00181,CUST00181,PN00181,Life,2020-08-05,2021-08-05,1525.08,Active
POL00182,CUST00182,PN00182,Health,2022-07-23,2023-07-23,1901.64,Active
POL00183,CUST00183,PN00183,Health,2022-07-19,2023-07-19,647.31,Active
POL00184,CUST00184,PN00184,Health,2020-01-18,2021-01-17,1344.67,Active
POL00185,CUST00185,PN00185,Home,2020-05-14,2021-05-14,1550.71,Active
POL00186,CUST00186,PN00186,Home,2020-08-05,2021-08-05,1838.45,Active
POL00187,CUST00187,PN00187,Life,2021-11-30,2022-11-30,1813.6,Active
POL00188,CUST00188,PN00188,Auto,2021-10-08,2022-10-08,1429.03,Active
POL00189,CUST00189,PN00189,Home,2020-06-26,2021-06-26,676.32,Active
POL00190,CUST00190,PN00190,Auto,2020-03-31,2021-03-31,589.15,Active
POL00191,CUST00191,PN00191,Home,2022-11-21,2023-11-21,1655.92,Active
POL00192,CUST00192,PN00192,Home,2021-07-14,2022-07-14,1391.89,Active
POL00193,CUST00193,PN00193,Life,2022-09-26,2023-09-26,484.33,Active
POL00194,CUST00194,PN00194,Auto,2020-09-18,2021-09-18,1378.75,Active
POL00195,CUST00195,PN00195,Life,2020-06-05,2021-06-05,585.07,Active
POL00196,CUST00196,PN00196,Health,2022-10-24,2023-10-24,552.84,Active
POL00197,CUST00197,PN00197,Health,2022-03-17,2023-03-17,870.29,Active
POL00198,CUST00198,PN00198,Life,2021-05-22,2022-05-22,1405.57,Active
POL00199,CUST00199,PN00199,Home,2020-08-24,2021-08-24,603.17,Active
POL00200,CUST00200,PN00200,Home,2021-05-27,2022-05-27,1891.54,Active
POL00201,CUST00201,PN00201,Health,2022-07-18,2023-07-18,1076.45,Active
POL00202,CUST00202,PN00202,Life,2021-09-01,2022-09-01,1810.68,Active
POL00203,CUST00203,PN00203,Life,2021-05-07,2022-05-07,991.79,Active
POL00204,CUST00204,PN00204,Home,2020-06-24,2021-06-24,539.87,Active
POL00205,CUST00205,PN00205,Auto,2022-10-08,2023-10-08,1232.63,Active
POL00206,CUST00206,PN00206,Auto,2022-04-01,2023-04-01,945.98,Active
POL00207,CUST00207,PN00207,Life,2022-10-10,2023-10-10,442.36,Active
POL00208,CUST00208,PN00208,Health,2021-10-05,2022-10-05,768.42,Active
POL00209,CUST00209,PN00209,Home,2021-06-10,2022-06-10,832.87,Active
POL00210,CUST00210,PN00210,Life,2020-12-15,2021-12-15,497.99,Active
POL00211,CUST00211,PN00211,Life,2021-04-16,2022-04-16,573.18,Active
POL00212,CUST00212,PN00212,Home,2022-09-09,2023-09-09,1521.91,Active
POL00213,CUST00213,PN00213,Home,2022-02-26,2023-02-26,554.95,Active
POL00214,CUST00214,PN00214,Life,2022-07-06,2023-07-06,382.99,Active
POL00215,CUST00215,PN00215,Auto,2020-01-10,2021-01-09,897.61,Active
POL00216,CUST00216,PN00216,Auto,2022-05-20,2023-05-20,1857.31,Active
POL00217,CUST00217,PN00217,Home,2020-07-18,2021-07-18,1061.5,Active
POL00218,CUST00218,PN00218,Home,2020-03-04,2021-03-04,1871.2,Active
POL00219,CUST00219,PN00219,Auto,2021-12-30,2022-12-30,1462.45,Active
POL00220,CUST00220,PN00220,Auto,2020-04-01,2021-04-01,1560.83,Active
POL00221,CUST00221,PN00221,Home,2020-12-04,2021-12-04,1010.98,Active
POL00222,CUST00222,PN00222,Health,2020-09-22,2021-09-22,1521.84,Active
POL00223,CUST00223,PN00223,Life,2020-07-01,2021-07-01,1671.44,Active
POL00224,CUST00224,PN00224,Auto,2021-01-27,2022-01-27,836.52,Active
POL00225,CUST00225,PN00225,Home,2020-03-22,2021-03-22,1680.17,Active
POL00226,CUST00226,PN00226,Health,2022-01-21,2023-01-21,768.05,Active
POL00227,CUST00227,PN00227,Health,2022-11-26,2023-11-26,1617.03,Active
POL00228,CUST00228,PN00228,Life,2021-01-15,2022-01-15,1317.77,Active
POL00229,CUST00229,PN00229,Home,2020-08-27,2021-08-27,1878.5,Active
POL00230,CUST00230,PN00230,Home,2020-11-29,2021-11-29,1729.52,Active
POL00231,CUST00231,PN00231,Home,2020-12-25,2021-12-25,1923.36,Active
POL00232,CUST00232,PN00232,Home,2020-08-30,2021-08-30,1336.41,Active
POL00233,CUST00233,PN00233,Auto,2021-11-06,2022-11-06,1418.71,Active
POL00234,CUST00234,PN00234,Home,2021-04-14,2022-04-14,532.1,Active
POL00235,CUST00235,PN00235,Auto,2021-06-12,2022-06-12,1876.4,Active
POL00236,CUST00236,PN00236,Auto,2021-11-18,2022-11-18,1382.3,Active
POL00237,CUST00237,PN00237,Auto,2020-11-26,2021-11-26,1464.82,Active
POL00238,CUST00238,PN00238,Home,2021-03-20,2022-03-20,912.46,Active
POL00239,CUST00239,PN00239,Life,2020-03-26,2021-03-26,1161.82,Active
POL00240,CUST00240,PN00240,Auto,2022-03-07,2023-03-07,1224.24,Active
POL00241,CUST00241,PN00241,Health,2021-06-11,2022-06-11,1679.3,Active
POL00242,CUST00242,PN00242,Home,2022-09-12,2023-09-12,1434.55,Active
POL00243,CUST00243,PN00243,Auto,2021-01-12,2022-01-12,1281.08,Active
POL00244,CUST00244,PN00244,Health,2020-05-11,2021-05-11,1158.2,Active
POL00245,CUST00245,PN00245,Life,2022-08-23,2023-08-23,1557.12,Active
POL00246,CUST00246,PN00246,Auto,2021-11-26,2022-11-26,648.25,Active
POL00247,CUST00247,PN00247,Home,2020-02-23,2021-02-22,1957.25,Active
POL00248,CUST00248,PN00248,Health,2021-02-02,2022-02-02,1202.5,Active
POL00249,CUST00249,PN00249,Health,2020-10-28,2021-10-28,833.89,Active
POL00250,CUST00250,PN00250,Auto,2020-05-22,2021-05-22,452.55,Active
POL00251,CUST00251,PN00251,Health,2022-06-03,2023-06-03,1132.09,Active
POL00252,CUST00252,PN00252,Home,2021-06-08,2022-06-08,1542.83,Active
POL00253,CUST00253,PN00253,Health,2020-01-03,2021-01-02,423.04,Active
POL00254,CUST00254,PN00254,Home,2020-03-24,2021-03-24,791.1,Active
POL00255,CUST00255,PN00255,Health,2021-11-08,2022-11-08,1041.44,Active
POL00256,CUST00256,PN00256,Home,2020-01-18,2021-01-17,851.29,Active
POL00257,CUST00257,PN00257,Health,2020-09-10,2021-09-10,1328.35,Active
POL00258,CUST00258,PN00258,Health,2022-08-13,2023-08-13,1609.01,Active
POL00259,CUST00259,PN00259,Life,2021-09-22,2022-09-22,445.05,Active
POL00260,CUST00260,PN00260,Life,2022-09-10,2023-09-10,1858.48,Active
POL00261,CUST00261,PN00261,Home,2021-03-11,2022-03-11,933.6,Active
POL00262,CUST00262,PN00262,Home,2022-06-17,2023-06-17,1216.58,Active
POL00263,CUST00263,PN00263,Home,2022-03-02,2023-03-02,784.25,Active
POL00264,CUST00264,PN00264,Home,2021-12-22,2022-12-22,576.9,Active
POL00265,CUST00265,PN00265,Health,2022-10-25,2023-10-25,1916.74,Active
POL00266,CUST00266,PN00266,Auto,2020-08-06,2021-08-06,343.84,Active
POL00267,CUST00267,PN00267,Life,2022-07-29,2023-07-29,1329.2,Active
POL00268,CUST00268,PN00268,Life,2022-04-30,2023-04-30,973.07,Active
POL00269,CUST00269,PN00269,Health,2022-07-06,2023-07-06,1824.33,Active
POL00270,CUST00270,PN00270,Life,2022-08-16,2023-08-16,1406.86,Active
POL00271,CUST00271,PN00271,Auto,2021-04-09,2022-04-09,934.98,Active
POL00272,CUST00272,PN00272,Health,2022-09-22,2023-09-22,875.07,Active
POL00273,CUST00273,PN00273,Home,2022-01-02,2023-01-02,865.77,Active
POL00274,CUST00274,PN00274,Auto,2021-03-25,2022-03-25,1067.03,Active
POL00275,CUST00275,PN00275,Life,2020-09-27,2021-09-27,431.29,Active
POL00276,CUST00276,PN00276,Health,2020-02-28,2021-02-27,1708.23,Active
POL00277,CUST00277,PN00277,Life,2021-04-06,2022-04-06,1143.72,Active
POL00278,CUST00278,PN00278,Auto,2022-02-27,2023-02-27,1917.41,Active
POL00279,CUST00279,PN00279,Auto,2021-08-16,2022-08-16,429.89,Active
POL00280,CUST00280,PN00280,Auto,2021-12-02,2022-12-02,431.68,Active
POL00281,CUST00281,PN00281,Auto,2020-06-11,2021-06-11,1034.45,Active
POL00282,CUST00282,PN00282,Life,2022-06-19,2023-06-19,562.77,Active
POL00283,CUST00283,PN00283,Home,2022-01-18,2023-01-18,1169.94,Active
POL00284,CUST00284,PN00284,Life,2020-11-02,2021-11-02,1036.16,Active
POL00285,CUST00285,PN00285,Auto,2022-03-05,2023-03-05,1603.73,Active
POL00286,CUST00286,PN00286,Auto,2020-01-11,2021-01-10,466.71,Active
POL00287,CUST00287,PN00287,Life,2020-08-11,2021-08-11,517.51,Active
POL00288,CUST00288,PN00288,Auto,2022-09-11,2023-09-11,1161.01,Active
POL00289,CUST00289,PN00289,Home,2021-01-10,2022-01-10,654.26,Active
POL00290,CUST00290,PN00290,Auto,2021-12-14,2022-12-14,1962.37,Active
POL00291,CUST00291,PN00291,Home,2022-01-29,2023-01-29,1039.36,Active
POL00292,CUST00292,PN00292,Home,2022-12-07,2023-12-07,1722.1,Active
POL00293,CUST00293,PN00293,Auto,2020-08-03,2021-08-03,1020.23,Active
POL00294,CUST00294,PN00294,Health,2021-12-22,2022-12-22,1902.9,Active
POL00295,CUST00295,PN00295,Health,2021-12-21,2022-12-21,1177.31,Active
POL00296,CUST00296,PN00296,Life,2020-04-25,2021-04-25,618.7,Active
POL00297,CUST00297,PN00297,Health,2022-09-17,2023-09-17,688.21,Active
POL00298,CUST00298,PN00298,Life,2022-01-28,2023-01-28,1873.32,Active
POL00299,CUST00299,PN00299,Auto,2022-12-01,2023-12-01,1603.42,Active
POL00300,CUST00300,PN00300,Home,2021-04-21,2022-04-21,481.27,Active
POL00301,CUST00301,PN00301,Home,2022-11-08,2023-11-08,1258.13,Active
POL00302,CUST00302,PN00302,Auto,2022-02-02,2023-02-02,1912.33,Active
POL00303,CUST00303,PN00303,Life,2020-07-29,2021-07-29,1999.14,Active
POL00304,CUST00304,PN00304,Life,2022-06-01,2023-06-01,1277.9,Active
POL00305,CUST00305,PN00305,Home,2020-11-22,2021-11-22,903.87,Active
POL00306,CUST00306,PN00306,Health,2021-10-29,2022-10-29,631.94,Active
POL00307,CUST00307,PN00307,Health,2020-03-26,2021-03-26,519.89,Active
POL00308,CUST00308,PN00308,Health,2022-08-25,2023-08-25,637.83,Active
POL00309,CUST00309,PN00309,Health,2021-12-05,2022-12-05,1837.93,Active
POL00310,CUST00310,PN00310,Auto,2021-02-12,2022-02-12,1368.7,Active
POL00311,CUST00311,PN00311,Health,2021-02-17,2022-02-17,1885.62,Active
POL00312,CUST00312,PN00312,Health,2021-05-23,2022-05-23,1496.04,Active
POL00313,CUST00313,PN00313,Health,2021-10-01,2022-10-01,1348.46,Active
POL00314,CUST00314,PN00314,Life,2020-03-17,2021-03-17,1552.8,Active
POL00315,CUST00315,PN00315,Life,2021-09-05,2022-09-05,1498.44,Active
POL00316,CUST00316,PN00316,Life,2021-12-05,2022-12-05,1964.02,Active
POL00317,CUST00317,PN00317,Life,2021-03-08,2022-03-08,1869.54,Active
POL00318,CUST00318,PN00318,Auto,2022-09-21,2023-09-21,906.77,Active
POL00319,CUST00319,PN00319,Auto,2021-10-06,2022-10-06,914.63,Active
POL00320,CUST00320,PN00320,Life,2022-12-06,2023-12-06,1590.65,Active
POL00321,CUST00321,PN00321,Life,2021-07-03,2022-07-03,1779.85,Active
POL00322,CUST00322,PN00322,Life,2022-05-17,2023-05-17,1546.13,Active
POL00323,CUST00323,PN00323,Life,2020-05-26,2021-05-26,1923.56,Active
POL00324,CUST00324,PN00324,Health,2022-05-28,2023-05-28,1366.1,Active
POL00325,CUST00325,PN00325,Life,2021-10-12,2022-10-12,1692.43,Active
POL00326,CUST00326,PN00326,Auto,2020-06-26,2021-06-26,1468.48,Active
POL00327,CUST00327,PN00327,Life,2022-10-15,2023-10-15,1224.16,Active
POL00328,CUST00328,PN00328,Health,2020-08-01,2021-08-01,1973.38,Active
POL00329,CUST00329,PN00329,Auto,2021-11-08,2022-11-08,1440.18,Active
POL00330,CUST00330,PN00330,Life,2021-03-23,2022-03-23,1798.93,Active
POL00331,CUST00331,PN00331,Life,2020-10-01,2021-10-01,1601.67,Active
POL00332,CUST00332,PN00332,Health,2022-10-19,2023-10-19,1786.79,Active
POL00333,CUST00333,PN00333,Health,2020-09-12,2021-09-12,1925.35,Active
POL00334,CUST00334,PN00334,Health,2021-01-25,2022-01-25,551.22,Active
POL00335,CUST00335,PN00335,Life,2022-10-14,2023-10-14,784.03,Active
POL00336,CUST00336,PN00336,Auto,2020-03-16,2021-03-16,1245.12,Active
POL00337,CUST00337,PN00337,Life,2021-05-20,2022-05-20,724.69,Active
POL00338,CUST00338,PN00338,Home,2022-12-10,2023-12-10,603.35,Active
POL00339,CUST00339,PN00339,Auto,2022-08-13,2023-08-13,973.43,Active
POL00340,CUST00340,PN00340,Health,2020-11-17,2021-11-17,1432.95,Active
