payment_id,policy_id,payment_date,amount,payment_method,transaction_id,status
PAY00040,POL00040,2023-01-27,1589.65,Credit Card,TXN00040,Success
PAY00041,POL00041,2023-08-15,911.55,UPI,TXN00041,Success
PAY00042,POL00042,2022-02-10,698.19,Net Banking,TXN00042,Success
PAY00043,POL00043,2022-02-20,794.93,Debit Card,TXN00043,Success
PAY00044,POL00044,2023-03-12,533.68,UPI,TXN00044,Success
PAY00045,POL00045,2022-06-01,359.64,Credit Card,TXN00045,Success
PAY00046,POL00046,2022-09-15,202.75,Credit Card,TXN00046,Success
PAY00047,POL00047,2022-11-12,1900.81,Debit Card,TXN00047,Success
PAY00048,POL00048,2022-03-23,1472.99,Credit Card,TXN00048,Success
PAY00049,POL00049,2023-06-17,1901.89,Credit Card,TXN00049,Success
PAY00050,POL00050,2023-01-05,1747.14,UPI,TXN00050,Success
PAY00051,POL00051,2023-04-23,601.5,Bank Transfer,TXN00051,Success
PAY00052,POL00052,2023-12-19,704.56,Debit Card,TXN00052,Success
PAY00053,POL00053,2023-04-30,970.67,UPI,TXN00053,Success
PAY00054,POL00054,2022-10-24,691.45,Debit Card,TXN00054,Success
PAY00055,POL00055,2023-06-17,505.87,Credit Card,TXN00055,Success
PAY00056,POL00056,2023-06-07,115.52,Credit Card,TXN00056,Success
PAY00057,POL00057,2022-04-01,805.11,UPI,TXN00057,Success
PAY00058,POL00058,2022-07-16,1503.58,UPI,TXN00058,Success
PAY00059,POL00059,2023-03-04,577.48,Bank Transfer,TXN00059,Success
PAY00060,POL00060,2023-03-02,853.29,Credit Card,TXN00060,Success
PAY00061,POL00061,2022-11-17,1500.2,Debit Card,TXN00061,Success
PAY00062,POL00062,2022-08-24,1362.43,Debit Card,TXN00062,Success
PAY00063,POL00063,2022-07-14,550.19,UPI,TXN00063,Success
PAY00064,POL00064,2023-03-13,1543.88,UPI,TXN00064,Success
PAY00065,POL00065,2022-09-01,1297.98,Net Banking,TXN00065,Success
PAY00066,POL00066,2023-11-17,385.82,UPI,TXN00066,Success
PAY00067,POL00067,2023-03-18,1871.81,Debit Card,TXN00067,Success
PAY00068,POL00068,2023-01-26,666.58,Net Banking,TXN00068,Success
PAY00069,POL00069,2022-03-02,1703.46,Credit Card,TXN00069,Success
PAY00070,POL00070,2023-10-15,1864.69,Debit Card,TXN00070,Success
PAY00071,POL00071,2022-12-24,325.96,Debit Card,TXN00071,Success
PAY00072,POL00072,2022-04-20,980.19,Credit Card,TXN00072,Success
PAY00073,POL00073,2023-10-04,1865.95,Bank Transfer,TXN00073,Success
PAY00074,POL00074,2023-05-12,1552.87,Debit Card,TXN00074,Success
PAY00075,POL00075,2022-01-14,263.85,UPI,TXN00075,Success
PAY00076,POL00076,2023-11-06,905.04,Debit Card,TXN00076,Success
PAY00077,POL00077,2023-07-19,134.83,Credit Card,TXN00077,Success
PAY00078,POL00078,2023-08-28,910.62,Debit Card,TXN00078,Success
PAY00079,POL00079,2023-04-15,1624.87,Debit Card,TXN00079,Success
PAY00080,POL00080,2023-05-08,758.08,Bank Transfer,TXN00080,Success
PAY00081,POL00081,2023-07-09,1920.51,Net Banking,TXN00081,Success
PAY00082,POL00082,2023-11-20,192.11,UPI,TXN00082,Success
PAY00083,POL00083,2022-08-12,156.35,Debit Card,TXN00083,Success
PAY00084,POL00084,2022-12-31,1320.58,Credit Card,TXN00084,Success
PAY00085,POL00085,2023-10-09,1941.63,Credit Card,TXN00085,Success
PAY00086,POL00086,2022-09-11,1714.6,Net Banking,TXN00086,Success
PAY00087,POL00087,2023-09-05,1579.24,Debit Card,TXN00087,Success
PAY00088,POL00088,2022-12-02,1499.6,Bank Transfer,TXN00088,Success
PAY00089,POL00089,2023-02-27,631.08,Debit Card,TXN00089,Success
PAY00090,POL00090,2023-02-03,1479.73,Debit Card,TXN00090,Success
PAY00091,POL00091,2022-09-11,1961.16,Credit Card,TXN00091,Success
PAY00092,POL00092,2023-07-31,1950.57,Credit Card,TXN00092,Success
PAY00093,POL00093,2023-08-14,1060.33,UPI,TXN00093,Success
PAY00094,POL00094,2022-02-21,1383.64,UPI,TXN00094,Success
PAY00095,POL00095,2022-04-09,646.16,Bank Transfer,TXN00095,Success
PAY00096,POL00096,2023-10-12,245.24,UPI,TXN00096,Success
PAY00097,POL00097,2023-03-08,1654.6,Credit Card,TXN00097,Success
PAY00098,POL00098,2023-11-29,1279.0,UPI,TXN00098,Success
PAY00099,POL00099,2022-03-17,1160.85,Bank Transfer,TXN00099,Success
PAY00100,POL00100,2023-12-02,1092.07,Bank Transfer,TXN00100,Success
PAY00101,POL00101,2023-04-09,1351.42,Net Banking,TXN00101,Success
PAY00102,POL00102,2023-07-19,900.64,Bank Transfer,TXN00102,Success
PAY00103,POL00103,2023-11-01,673.44,Net Banking,TXN00103,Success
PAY00104,POL00104,2022-05-14,1899.46,UPI,TXN00104,Success
PAY00105,POL00105,2022-12-27,533.43,Credit Card,TXN00105,Success
PAY00106,POL00106,2022-11-03,1714.52,Debit Card,TXN00106,Success
PAY00107,POL00107,2022-05-11,729.91,Net Banking,TXN00107,Success
PAY00108,POL00108,2022-01-28,1008.46,Credit Card,TXN00108,Success
PAY00109,POL00109,2024-01-01,1106.45,Net Banking,TXN00109,Success
PAY00110,POL00110,2022-04-06,912.05,Credit Card,TXN00110,Success
PAY00111,POL00111,2023-04-23,1828.95,Bank Transfer,TXN00111,Success
PAY00112,POL00112,2023-06-15,669.63,UPI,TXN00112,Success
PAY00113,POL00113,2022-01-24,1787.92,Bank Transfer,TXN00113,Success
PAY00114,POL00114,2023-02-13,1871.83,Net Banking,TXN00114,Success
PAY00115,POL00115,2023-12-29,172.95,Bank Transfer,TXN00115,Success
PAY00116,POL00116,2023-08-25,367.88,Bank Transfer,TXN00116,Success
PAY00117,POL00117,2023-02-28,1118.81,Credit Card,TXN00117,Success
PAY00118,POL00118,2023-11-25,1208.19,Credit Card,TXN00118,Success
PAY00119,POL00119,2022-03-21,252.71,Debit Card,TXN00119,Success
PAY00120,POL00120,2022-07-21,777.52,Bank Transfer,TXN00120,Success
PAY00121,POL00121,2022-06-19,755.94,Credit Card,TXN00121,Success
PAY00122,POL00122,2022-10-29,584.58,UPI,TXN00122,Success
PAY00123,POL00123,2022-03-18,1690.34,UPI,TXN00123,Success
PAY00124,POL00124,2022-11-07,926.48,Net Banking,TXN00124,Success
PAY00125,POL00125,2023-02-13,1690.79,Credit Card,TXN00125,Success
PAY00126,POL00126,2022-10-28,1428.55,Bank Transfer,TXN00126,Success
PAY00127,POL00127,2022-03-21,1708.01,Debit Card,TXN00127,Success
PAY00128,POL00128,2022-07-26,1451.37,UPI,TXN00128,Success
PAY00129,POL00129,2022-01-30,1984.24,Debit Card,TXN00129,Success
PAY00130,POL00130,2023-03-10,1047.7,Net Banking,TXN00130,Success
PAY00131,POL00131,2023-08-15,1782.5,Net Banking,TXN00131,Success
PAY00132,POL00132,2023-09-30,1843.67,Net Banking,TXN00132,Success
PAY00133,POL00133,2023-05-18,120.64,Net Banking,TXN00133,Success
PAY00134,POL00134,2023-05-16,599.18,Debit Card,TXN00134,Success
PAY00135,POL00135,2022-02-20,1776.45,UPI,TXN00135,Success
PAY00136,POL00136,2023-03-01,1152.96,Bank Transfer,TXN00136,Success
PAY00137,POL00137,2022-03-20,1459.1,Bank Transfer,TXN00137,Success
PAY00138,POL00138,2022-06-15,1103.8,Bank Transfer,TXN00138,Success
PAY00139,POL00139,2023-12-08,1207.79,Bank Transfer,TXN00139,Success
PAY00140,POL00140,2023-08-05,587.67,UPI,TXN00140,Success
PAY00141,POL00141,2023-10-26,841.79,Bank Transfer,TXN00141,Success
PAY00142,POL00142,2022-05-05,1585.36,UPI,TXN00142,Success
PAY00143,POL00143,2022-02-19,1719.02,Credit Card,TXN00143,Success
PAY00144,POL00144,2023-10-21,249.03,UPI,TXN00144,Success
PAY00145,POL00145,2022-01-12,443.68,Net Banking,TXN00145,Success
PAY00146,POL00146,2022-05-30,1005.19,Credit Card,TXN00146,Success
PAY00147,POL00147,2023-05-13,104.29,Net Banking,TXN00147,Success
PAY00148,POL00148,2022-07-30,380.31,Debit Card,TXN00148,Success
PAY00149,POL00149,2022-04-26,1107.59,UPI,TXN00149,Success
PAY00150,POL00150,2023-11-18,1949.71,Bank Transfer,TXN00150,Success
PAY00151,POL00151,2022-11-09,1282.2,Bank Transfer,TXN00151,Success
PAY00152,POL00152,2023-08-10,687.64,Net Banking,TXN00152,Success
PAY00153,POL00153,2023-02-09,600.3,Credit Card,TXN00153,Success
PAY00154,POL00154,2022-05-05,1134.69,Debit Card,TXN00154,Success
PAY00155,POL00155,2023-05-01,1438.01,Bank Transfer,TXN00155,Success
PAY00156,POL00156,2022-12-23,369.89,Debit Card,TXN00156,Success
PAY00157,POL00157,2023-09-12,1354.31,Bank Transfer,TXN00157,Success
PAY00158,POL00158,2023-10-26,1234.41,Credit Card,TXN00158,Success
PAY00159,POL00159,2022-07-19,658.23,Net Banking,TXN00159,Success
PAY00160,POL00160,2023-12-10,668.65,Net Banking,TXN00160,Success
PAY00161,POL00161,2022-12-16,1082.85,Credit Card,TXN00161,Success
PAY00162,POL00162,2023-12-25,1692.48,Bank Transfer,TXN00162,Success
PAY00163,POL00163,2022-06-14,1678.81,Debit Card,TXN00163,Success
PAY00164,POL00164,2022-02-15,702.61,Debit Card,TXN00164,Success
PAY00165,POL00165,2023-11-26,1852.77,Net Banking,TXN00165,Success
PAY00166,POL00166,2023-11-12,1168.58,Debit Card,TXN00166,Success
PAY00167,POL00167,2022-05-08,159.05,Debit Card,TXN00167,Success
PAY00168,POL00168,2023-11-27,949.33,Credit Card,TXN00168,Success
PAY00169,POL00169,2022-02-08,566.21,Net Banking,TXN00169,Success
PAY00170,POL00170,2023-02-26,929.43,Bank Transfer,TXN00170,Success
PAY00171,POL00171,2022-07-22,1153.72,UPI,TXN00171,Success
PAY00172,POL00172,2022-12-27,286.1,Credit Card,TXN00172,Success
PAY00173,POL00173,2022-07-14,308.23,Net Banking,TXN00173,Success
PAY00174,POL00174,2022-09-16,1903.04,Net Banking,TXN00174,Success
PAY00175,POL00175,2023-06-09,1602.62,Debit Card,TXN00175,Success
PAY00176,POL00176,2022-12-25,1987.5,Bank Transfer,TXN00176,Success
PAY00177,POL00177,2022-06-11,1695.52,Debit Card,TXN00177,Success
PAY00178,POL00178,2022-06-23,356.8,Debit Card,TXN00178,Success
PAY00179,POL00179,2022-12-09,233.97,Debit Card,TXN00179,Success
PAY00180,POL00180,2022-05-21,973.95,Debit Card,TXN00180,Success
PAY00181,POL00181,2023-03-29,157.24,UPI,TXN00181,Success
PAY00182,POL00182,2023-03-15,1971.32,Credit Card,TXN00182,Success
PAY00183,POL00183,2023-11-22,1584.54,Bank Transfer,TXN00183,Success
PAY00184,POL00184,2022-03-23,1435.95,Debit Card,TXN00184,Success
PAY00185,POL00185,2022-06-10,1049.71,Net Banking,TXN00185,Success
PAY00186,POL00186,2023-05-23,803.9,Credit Card,TXN00186,Success
PAY00187,POL00187,2022-05-25,1072.22,Bank Transfer,TXN00187,Success
PAY00188,POL00188,2022-02-12,618.65,Credit Card,TXN00188,Success
PAY00189,POL00189,2023-05-05,1436.58,Debit Card,TXN00189,Success
PAY00190,POL00190,2023-06-24,162.82,Debit Card,TXN00190,Success
PAY00191,POL00191,2022-03-13,1377.42,Net Banking,TXN00191,Success
PAY00192,POL00192,2023-09-14,1627.48,Net Banking,TXN00192,Success
PAY00193,POL00193,2022-06-06,123.57,UPI,TXN00193,Success
PAY00194,POL00194,2023-03-23,1851.75,Net Banking,TXN00194,Success
PAY00195,POL00195,2022-12-12,106.02,UPI,TXN00195,Success
PAY00196,POL00196,2023-10-14,1876.7,Bank Transfer,TXN00196,Success
PAY00197,POL00197,2023-05-25,1236.1,UPI,TXN00197,Success
PAY00198,POL00198,2023-08-23,700.68,Net Banking,TXN00198,Success
PAY00199,POL00199,2023-11-22,1356.07,Bank Transfer,TXN00199,Success
PAY00200,POL00200,2023-07-09,1127.88,Bank Transfer,TXN00200,Success
PAY00201,POL00201,2022-02-08,1568.89,Credit Card,TXN00201,Success
PAY00202,POL00202,2023-09-14,1133.88,Credit Card,TXN00202,Success
PAY00203,POL00203,2023-04-09,1181.27,Debit Card,TXN00203,Success
PAY00204,POL00204,2023-11-16,637.4,Debit Card,TXN00204,Success
PAY00205,POL00205,2023-11-30,1592.71,Credit Card,TXN00205,Success
PAY00206,POL00206,2023-06-10,951.31,UPI,TXN00206,Success
PAY00207,POL00207,2023-10-13,1780.91,Credit Card,TXN00207,Success
PAY00208,POL00208,2022-03-19,1862.57,Credit Card,TXN00208,Success
PAY00209,POL00209,2023-11-06,565.43,UPI,TXN00209,Success
PAY00210,POL00210,2023-02-25,1078.11,Net Banking,TXN00210,Success
PAY00211,POL00211,2022-03-24,1821.31,Bank Transfer,TXN00211,Success
PAY00212,POL00212,2023-04-05,861.99,Net Banking,TXN00212,Success
PAY00213,POL00213,2022-06-25,1560.42,Debit Card,TXN00213,Success
PAY00214,POL00214,2022-01-30,1481.56,Credit Card,TXN00214,Success
PAY00215,POL00215,2022-11-24,628.24,Bank Transfer,TXN00215,Success
PAY00216,POL00216,2022-10-13,190.37,Net Banking,TXN00216,Success
PAY00217,POL00217,2023-07-05,1532.59,Debit Card,TXN00217,Success
PAY00218,POL00218,2023-01-17,578.98,UPI,TXN00218,Success
PAY00219,POL00219,2023-01-21,1862.73,Debit Card,TXN00219,Success
PAY00220,POL00220,2023-02-13,410.1,Bank Transfer,TXN00220,Success
PAY00221,POL00221,2022-09-10,477.83,Debit Card,TXN00221,Success
PAY00222,POL00222,2022-08-29,1976.4,Net Banking,TXN00222,Success
PAY00223,POL00223,2023-11-10,1540.42,UPI,TXN00223,Success
PAY00224,POL00224,2023-08-24,1018.14,Bank Transfer,TXN00224,Success
PAY00225,POL00225,2023-05-08,364.52,Net Banking,TXN00225,Success
PAY00226,POL00226,2023-03-29,1896.22,Net Banking,TXN00226,Success
PAY00227,POL00227,2023-07-10,1451.0,UPI,TXN00227,Success
PAY00228,POL00228,2023-06-21,1894.55,Bank Transfer,TXN00228,Success
PAY00229,POL00229,2023-06-27,363.96,Bank Transfer,TXN00229,Success
PAY00230,POL00230,2022-06-02,1342.63,UPI,TXN00230,Success
PAY00231,POL00231,2023-01-04,1670.18,Debit Card,TXN00231,Success
PAY00232,POL00232,2023-01-10,266.08,Net Banking,TXN00232,Success
PAY00233,POL00233,2023-10-07,1942.12,Credit Card,TXN00233,Success
PAY00234,POL00234,2023-06-03,957.01,UPI,TXN00234,Success
PAY00235,POL00235,2023-05-31,471.93,Net Banking,TXN00235,Success
PAY00236,POL00236,2022-10-17,1209.22,Net Banking,TXN00236,Success
PAY00237,POL00237,2023-01-17,810.13,Debit Card,TXN00237,Success
PAY00238,POL00238,2023-12-04,940.16,Net Banking,TXN00238,Success
PAY00239,POL00239,2022-08-09,1164.44,UPI,TXN00239,Success
PAY00240,POL00240,2022-07-14,630.28,UPI,TXN00240,Success
PAY00241,POL00241,2022-07-28,1778.1,Bank Transfer,TXN00241,Success
PAY00242,POL00242,2022-09-10,809.64,Debit Card,TXN00242,Success
PAY00243,POL00243,2022-05-11,1772.61,Bank Transfer,TXN00243,Success
PAY00244,POL00244,2022-12-27,1941.21,Credit Card,TXN00244,Success
PAY00245,POL00245,2023-02-07,806.41,Credit Card,TXN00245,Success
PAY00246,POL00246,2023-12-31,117.09,Debit Card,TXN00246,Success
PAY00247,POL00247,2023-06-19,1909.73,UPI,TXN00247,Success
PAY00248,POL00248,2022-12-03,259.06,Bank Transfer,TXN00248,Success
PAY00249,POL00249,2022-04-24,1138.89,Credit Card,TXN00249,Success
PAY00250,POL00250,2022-07-28,1981.21,Debit Card,TXN00250,Success
PAY00251,POL00251,2022-12-15,700.87,Debit Card,TXN00251,Success
PAY00252,POL00252,2022-02-18,856.51,Net Banking,TXN00252,Success
PAY00253,POL00253,2023-12-28,161.02,Debit Card,TXN00253,Success
PAY00254,POL00254,2023-01-30,379.68,Credit Card,TXN00254,Success
PAY00255,POL00255,2023-05-15,442.61,Net Banking,TXN00255,Success
PAY00256,POL00256,2023-12-22,1055.26,Bank Transfer,TXN00256,Success
PAY00257,POL00257,2022-03-01,1895.67,Debit Card,TXN00257,Success
PAY00258,POL00258,2023-07-27,855.47,UPI,TXN00258,Success
PAY00259,POL00259,2022-04-03,496.76,Debit Card,TXN00259,Success
PAY00260,POL00260,2022-06-07,1367.44,Net Banking,TXN00260,Success
PAY00261,POL00261,2023-02-01,365.16,Debit Card,TXN00261,Success
PAY00262,POL00262,2022-10-12,173.82,Credit Card,TXN00262,Success
PAY00263,POL00263,2023-06-02,1387.94,Net Banking,TXN00263,Success
PAY00264,POL00264,2022-08-21,241.76,Debit Card,TXN00264,Success
PAY00265,POL00265,2023-09-15,1529.58,Net Banking,TXN00265,Success
PAY00266,POL00266,2022-07-05,1010.97,Net Banking,TXN00266,Success
PAY00267,POL00267,2023-03-19,568.24,Net Banking,TXN00267,Success
PAY00268,POL00268,2022-02-14,1196.67,UPI,TXN00268,Success
PAY00269,POL00269,2022-12-25,1983.24,Net Banking,TXN00269,Success
PAY00270,POL00270,2023-08-23,413.0,UPI,TXN00270,Success
PAY00271,POL00271,2022-11-29,1474.96,Bank Transfer,TXN00271,Success
PAY00272,POL00272,2022-04-17,131.78,Net Banking,TXN00272,Success
PAY00273,POL00273,2022-01-30,1794.62,Credit Card,TXN00273,Success
PAY00274,POL00274,2023-07-07,477.01,UPI,TXN00274,Success
PAY00275,POL00275,2023-12-06,1507.39,Bank Transfer,TXN00275,Success
PAY00276,POL00276,2023-11-30,1373.89,Bank Transfer,TXN00276,Success
PAY00277,POL00277,2023-08-29,960.53,Bank Transfer,TXN00277,Success
PAY00278,POL00278,2023-05-22,252.99,UPI,TXN00278,Success
PAY00279,POL00279,2023-12-03,1884.68,UPI,TXN00279,Success
PAY00280,POL00280,2022-04-13,1516.09,Credit Card,TXN00280,Success
PAY00281,POL00281,2022-11-23,237.62,Net Banking,TXN00281,Success
PAY00282,POL00282,2023-08-16,242.85,Credit Card,TXN00282,Success
PAY00283,POL00283,2023-11-25,1871.27,Bank Transfer,TXN00283,Success
PAY00284,POL00284,2022-08-26,1547.35,Net Banking,TXN00284,Success
PAY00285,POL00285,2023-02-23,1924.33,Bank Transfer,TXN00285,Success
PAY00286,POL00286,2023-06-27,1600.48,Debit Card,TXN00286,Success
PAY00287,POL00287,2022-09-30,204.88,UPI,TXN00287,Success
PAY00288,POL00288,2023-10-19,794.36,Bank Transfer,TXN00288,Success
PAY00289,POL00289,2022-05-15,756.13,Debit Card,TXN00289,Success
PAY00290,POL00290,2023-11-17,1780.98,Debit Card,TXN00290,Success
PAY00291,POL00291,2023-05-01,1411.93,Debit Card,TXN00291,Success
PAY00292,POL00292,2023-08-05,474.69,UPI,TXN00292,Success
PAY00293,POL00293,2022-11-14,665.0,UPI,TXN00293,Success
PAY00294,POL00294,2022-07-02,327.18,Net Banking,TXN00294,Success
PAY00295,POL00295,2023-04-30,624.21,Debit Card,TXN00295,Success
PAY00296,POL00296,2022-07-01,628.9,Net Banking,TXN00296,Success
PAY00297,POL00297,2022-06-13,1167.47,Debit Card,TXN00297,Success
PAY00298,POL00298,2023-07-18,199.14,Credit Card,TXN00298,Success
PAY00299,POL00299,2023-06-09,872.95,Debit Card,TXN00299,Success
PAY00300,POL00300,2023-08-01,1463.48,Net Banking,TXN00300,Success
PAY00301,POL00301,2022-06-21,584.43,Debit Card,TXN00301,Success
PAY00302,POL00302,2022-04-12,284.51,Net Banking,TXN00302,Success
PAY00303,POL00303,2022-01-06,1320.28,UPI,TXN00303,Success
PAY00304,POL00304,2023-02-04,1469.84,Bank Transfer,TXN00304,Success
PAY00305,POL00305,2023-10-16,1374.63,Bank Transfer,TXN00305,Success
PAY00306,POL00306,2023-01-27,1326.6,Net Banking,TXN00306,Success
PAY00307,POL00307,2022-08-03,531.4,Net Banking,TXN00307,Success
PAY00308,POL00308,2022-04-26,889.57,Credit Card,TXN00308,Success
PAY00309,POL00309,2022-03-28,1562.58,Bank Transfer,TXN00309,Success
PAY00310,POL00310,2023-01-15,838.54,Credit Card,TXN00310,Success
PAY00311,POL00311,2023-01-24,1935.91,Debit Card,TXN00311,Success
PAY00312,POL00312,2022-09-26,655.98,Debit Card,TXN00312,Success
PAY00313,POL00313,2023-05-17,270.33,UPI,TXN00313,Success
PAY00314,POL00314,2023-11-18,105.08,Bank Transfer,TXN00314,Success
PAY00315,POL00315,2022-01-08,347.41,Credit Card,TXN00315,Success
PAY00316,POL00316,2022-11-14,1112.0,Credit Card,TXN00316,Success
PAY00317,POL00317,2023-07-18,670.12,Bank Transfer,TXN00317,Success
PAY00318,POL00318,2022-04-23,1396.71,Bank Transfer,TXN00318,Success
PAY00319,POL00319,2022-08-19,685.91,Credit Card,TXN00319,Success
PAY00320,POL00320,2023-01-15,1093.19,UPI,TXN00320,Success
PAY00321,POL00321,2023-05-29,937.2,UPI,TXN00321,Success
PAY00322,POL00322,2023-03-09,1174.16,Net Banking,TXN00322,Success
PAY00323,POL00323,2022-08-23,457.9,Debit Card,TXN00323,Success
PAY00324,POL00324,2023-11-13,1924.34,Bank Transfer,TXN00324,Success
PAY00325,POL00325,2023-09-20,561.13,Credit Card,TXN00325,Success
PAY00326,POL00326,2022-12-07,166.62,Bank Transfer,TXN00326,Success
PAY00327,POL00327,2022-03-01,1468.91,UPI,TXN00327,Success
PAY00328,POL00328,2022-06-10,624.56,UPI,TXN00328,Success
PAY00329,POL00329,2023-05-25,1948.26,Debit Card,TXN00329,Success
PAY00330,POL00330,2023-03-18,1588.67,Bank Transfer,TXN00330,Success
PAY00331,POL00331,2022-12-07,392.48,Credit Card,TXN00331,Success
PAY00332,POL00332,2023-11-04,668.76,Net Banking,TXN00332,Success
PAY00333,POL00333,2023-01-09,1999.0,Bank Transfer,TXN00333,Success
PAY00334,POL00334,2022-11-04,1756.59,Credit Card,TXN00334,Success
PAY00335,POL00335,2022-12-05,1656.3,Credit Card,TXN00335,Success
PAY00336,POL00336,2023-01-16,789.91,Net Banking,TXN00336,Success
PAY00337,POL00337,2023-10-19,844.84,Credit Card,TXN00337,Success
PAY00338,POL00338,2023-09-27,228.52,UPI,TXN00338,Success
PAY00339,POL00339,2023-10-18,1608.49,Net Banking,TXN00339,Success
PAY00340,POL00340,2022-08-16,1562.92,Net Banking,TXN00340,Success
PAY00341,POL00341,2022-05-22,924.4,UPI,TXN00341,Success
PAY00342,POL00342,2022-06-28,1941.52,Debit Card,TXN00342,Success
PAY00343,POL00343,2022-07-28,1739.68,Debit Card,TXN00343,Success
PAY00344,POL00344,2023-11-04,1434.13,Bank Transfer,TXN00344,Success
PAY00345,POL00345,2022-05-07,1282.49,UPI,TXN00345,Success
PAY00346,POL00346,2023-10-29,907.07,UPI,TXN00346,Success
PAY00347,POL00347,2023-05-05,1088.32,Bank Transfer,TXN00347,Success
PAY00348,POL00348,2023-10-15,1977.93,UPI,TXN00348,Success
PAY00349,POL00349,2023-01-23,645.23,Net Banking,TXN00349,Success
PAY00350,POL00350,2023-10-13,1264.57,Credit Card,TXN00350,Success
PAY00351,POL00351,2022-05-17,993.23,Net Banking,TXN00351,Success
PAY00352,POL00352,2022-04-02,467.23,UPI,TXN00352,Success
PAY00353,POL00353,2023-02-08,1590.84,Bank Transfer,TXN00353,Success
PAY00354,POL00354,2023-02-03,1189.89,Credit Card,TXN00354,Success
PAY00355,POL00355,2023-01-21,1064.61,Credit Card,TXN00355,Success
PAY00356,POL00356,2022-08-26,1353.73,Bank Transfer,TXN00356,Success
PAY00357,POL00357,2022-12-02,168.78,UPI,TXN00357,Success
PAY00358,POL00358,2024-01-01,138.98,Debit Card,TXN00358,Success
PAY00359,POL00359,2022-08-28,1288.46,Debit Card,TXN00359,Success
PAY00360,POL00360,2023-04-02,1802.37,Credit Card,TXN00360,Success
PAY00361,POL00361,2022-10-11,1188.58,Net Banking,TXN00361,Success
PAY00362,POL00362,2022-11-30,239.11,Debit Card,TXN00362,Success
PAY00363,POL00363,2022-12-28,967.42,UPI,TXN00363,Success
PAY00364,POL00364,2023-12-14,507.86,UPI,TXN00364,Success
PAY00365,POL00365,2022-12-26,456.14,Bank Transfer,TXN00365,Success
PAY00366,POL00366,2023-12-24,1332.73,Credit Card,TXN00366,Success
PAY00367,POL00367,2023-07-01,805.8,Net Banking,TXN00367,Success
PAY00368,POL00368,2023-06-15,777.98,Net Banking,TXN00368,Success
PAY00369,POL00369,2023-04-09,253.08,Debit Card,TXN00369,Success
PAY00370,POL00370,2023-05-22,571.96,UPI,TXN00370,Success
PAY00371,POL00371,2023-06-09,1569.28,Credit Card,TXN00371,Success
