transaction_id,account_id,transaction_type,amount,transaction_time,description
29,1,debit,476.93,2026-05-25 07:13:39,ATM/Online Txn
30,5,debit,1995.05,2026-05-25 07:13:43,ATM/Online Txn
31,6,credit,791.84,2026-05-25 07:13:49,ATM/Online Txn
32,1,debit,635.69,2026-05-25 07:13:51,ATM/Online Txn
33,6,debit,3357.8,2026-05-25 07:13:55,ATM/Online Txn
34,7,credit,1132.78,2026-05-25 07:13:57,ATM/Online Txn
35,2,credit,3961.78,2026-05-25 07:14:03,ATM/Online Txn
36,5,debit,2823.62,2026-05-25 07:14:11,ATM/Online Txn
37,1,debit,4049.93,2026-05-25 07:14:17,ATM/Online Txn
38,4,credit,3986.2,2026-05-25 07:14:23,ATM/Online Txn
39,9,credit,4231.65,2026-05-25 07:14:27,ATM/Online Txn
40,7,credit,4794.45,2026-05-25 07:14:31,ATM/Online Txn
41,4,credit,393.99,2026-05-25 07:14:35,ATM/Online Txn
42,8,debit,1738.19,2026-05-25 07:14:37,ATM/Online Txn
43,7,credit,1163.01,2026-05-25 07:14:39,ATM/Online Txn
44,2,debit,2694.54,2026-05-25 07:14:41,ATM/Online Txn
45,8,credit,3725.76,2026-05-25 07:14:43,ATM/Online Txn
46,11,credit,1910.97,2026-05-25 07:14:45,ATM/Online Txn
47,6,debit,2176.86,2026-05-25 07:14:47,ATM/Online Txn
48,12,debit,925.44,2026-05-25 07:14:49,ATM/Online Txn
49,9,credit,3507.89,2026-05-25 07:14:51,ATM/Online Txn
50,4,debit,3807.87,2026-05-25 07:14:53,ATM/Online Txn
51,8,debit,4876.59,2026-05-25 07:14:59,ATM/Online Txn
52,9,debit,4812.15,2026-05-25 07:15:03,ATM/Online Txn
53,11,credit,3186.87,2026-05-25 07:15:05,ATM/Online Txn
54,5,debit,1868.51,2026-05-25 07:15:09,ATM/Online Txn
55,2,credit,4449.36,2026-05-25 07:15:11,ATM/Online Txn
56,8,credit,3978.28,2026-05-25 07:15:20,ATM/Online Txn
57,9,debit,3767.05,2026-05-25 07:15:22,ATM/Online Txn
58,7,debit,2901.04,2026-05-25 07:15:24,ATM/Online Txn
59,13,credit,4875.21,2026-05-25 07:15:28,ATM/Online Txn
60,7,debit,3519.11,2026-05-25 07:15:30,ATM/Online Txn
61,10,credit,4471.52,2026-05-25 07:15:36,ATM/Online Txn
62,1,credit,4784.53,2026-05-25 07:15:40,ATM/Online Txn
63,12,debit,604.42,2026-05-25 07:15:42,ATM/Online Txn
64,10,credit,2111.6,2026-05-25 07:15:44,ATM/Online Txn
65,4,debit,3635.51,2026-05-25 07:15:50,ATM/Online Txn
66,14,credit,1445.49,2026-05-25 07:15:54,ATM/Online Txn
67,4,debit,3818.47,2026-05-25 07:15:56,ATM/Online Txn
68,9,debit,3073.66,2026-05-25 07:15:58,ATM/Online Txn
69,6,credit,3077.69,2026-05-25 07:16:10,ATM/Online Txn
70,14,credit,3241.12,2026-05-25 07:16:16,ATM/Online Txn
71,2,debit,3813.45,2026-05-25 07:16:18,ATM/Online Txn
72,13,debit,4641.72,2026-05-25 07:16:20,ATM/Online Txn
73,11,debit,898.19,2026-05-25 07:16:22,ATM/Online Txn
74,5,debit,4850.09,2026-05-25 07:16:26,ATM/Online Txn
75,5,credit,4116.67,2026-05-25 07:16:28,ATM/Online Txn
76,17,debit,2170.76,2026-05-25 07:16:34,ATM/Online Txn
77,7,credit,2268.49,2026-05-25 07:16:40,ATM/Online Txn
78,6,debit,3649.76,2026-05-25 07:16:48,ATM/Online Txn
79,9,credit,4062.89,2026-05-25 07:16:52,ATM/Online Txn
80,12,credit,337.42,2026-05-25 07:16:56,ATM/Online Txn
81,20,debit,1351.62,2026-05-25 07:17:00,ATM/Online Txn
82,11,debit,4738.52,2026-05-25 07:17:04,ATM/Online Txn
83,18,credit,1241.45,2026-05-25 07:17:10,ATM/Online Txn
84,1,credit,387.13,2026-05-25 07:17:12,ATM/Online Txn
85,2,debit,1906.43,2026-05-25 07:17:18,ATM/Online Txn
86,11,credit,2295.8,2026-05-25 07:17:22,ATM/Online Txn
87,3,credit,3306.61,2026-05-25 07:17:24,ATM/Online Txn
88,1,credit,3329.04,2026-05-25 07:17:28,ATM/Online Txn
89,21,credit,2553.12,2026-05-25 07:17:30,ATM/Online Txn
90,12,debit,4187.77,2026-05-25 07:17:32,ATM/Online Txn
91,13,credit,1716.94,2026-05-25 07:17:36,ATM/Online Txn
92,6,debit,3738.24,2026-05-25 07:17:38,ATM/Online Txn
93,3,credit,827.33,2026-05-25 07:17:40,ATM/Online Txn
94,20,debit,4650.82,2026-05-25 07:17:44,ATM/Online Txn
95,22,credit,1438.54,2026-05-25 07:17:46,ATM/Online Txn
96,3,debit,602.79,2026-05-25 07:17:48,ATM/Online Txn
97,21,credit,4896.68,2026-05-25 07:17:50,ATM/Online Txn
98,15,debit,1632.39,2026-05-25 07:17:52,ATM/Online Txn
99,18,debit,3093.62,2026-05-25 07:17:54,ATM/Online Txn
100,9,debit,2310.58,2026-05-25 07:17:58,ATM/Online Txn
101,4,credit,2330.22,2026-05-25 07:18:04,ATM/Online Txn
102,11,debit,242.19,2026-05-25 07:18:08,ATM/Online Txn
103,22,debit,1428.68,2026-05-25 07:18:10,ATM/Online Txn
104,19,credit,1842.0,2026-05-25 07:18:12,ATM/Online Txn
105,13,credit,454.29,2026-05-25 07:18:14,ATM/Online Txn
106,20,debit,4588.65,2026-05-25 07:18:16,ATM/Online Txn
107,10,credit,289.92,2026-05-25 07:18:20,ATM/Online Txn
108,3,debit,2518.9,2026-05-25 07:18:24,ATM/Online Txn
109,28,credit,3620.5,2026-05-25 07:18:41,ATM/Online Txn
110,22,debit,2257.3,2026-05-25 07:18:43,ATM/Online Txn
111,4,debit,2913.91,2026-05-25 07:18:45,ATM/Online Txn
112,10,credit,597.22,2026-05-25 07:18:47,ATM/Online Txn
113,1,credit,4775.63,2026-05-25 07:18:49,ATM/Online Txn
114,22,debit,4144.52,2026-05-25 07:18:51,ATM/Online Txn
115,27,debit,1714.61,2026-05-25 07:18:53,ATM/Online Txn
116,14,credit,276.65,2026-05-25 07:18:59,ATM/Online Txn
117,10,credit,3464.94,2026-05-25 07:19:01,ATM/Online Txn
118,29,credit,1172.99,2026-05-25 07:19:03,ATM/Online Txn
119,17,debit,1208.46,2026-05-25 07:19:11,ATM/Online Txn
120,23,credit,412.04,2026-05-25 07:19:13,ATM/Online Txn
121,25,credit,1358.39,2026-05-25 07:19:17,ATM/Online Txn
122,19,debit,3427.06,2026-05-25 07:19:31,ATM/Online Txn
123,21,credit,4935.98,2026-05-25 07:19:33,ATM/Online Txn
124,10,debit,4367.78,2026-05-25 07:19:43,ATM/Online Txn
125,28,credit,3307.56,2026-05-25 07:19:47,ATM/Online Txn
126,7,credit,125.19,2026-05-25 07:19:51,ATM/Online Txn
127,23,credit,2370.47,2026-05-25 07:19:55,ATM/Online Txn
128,29,credit,121.62,2026-05-25 07:19:57,ATM/Online Txn
129,32,credit,4438.98,2026-05-25 07:19:59,ATM/Online Txn
130,11,debit,1953.84,2026-05-25 07:20:01,ATM/Online Txn
131,22,credit,4426.78,2026-05-25 07:20:03,ATM/Online Txn
132,27,credit,4227.26,2026-05-25 07:20:05,ATM/Online Txn
133,26,debit,1761.89,2026-05-25 07:20:07,ATM/Online Txn
134,26,debit,1508.42,2026-05-25 07:20:13,ATM/Online Txn
135,27,debit,4787.19,2026-05-25 07:20:15,ATM/Online Txn
136,8,credit,1400.8,2026-05-25 07:20:17,ATM/Online Txn
137,30,credit,2696.71,2026-05-25 07:20:21,ATM/Online Txn
138,32,debit,1779.79,2026-05-25 07:20:23,ATM/Online Txn
139,17,debit,2815.71,2026-05-25 07:20:25,ATM/Online Txn
140,18,debit,828.45,2026-05-25 07:20:27,ATM/Online Txn
141,12,credit,1299.65,2026-05-25 07:20:29,ATM/Online Txn
142,23,debit,3780.89,2026-05-25 07:20:31,ATM/Online Txn
143,31,credit,3447.03,2026-05-25 07:20:35,ATM/Online Txn
144,1,credit,2843.51,2026-05-25 07:20:37,ATM/Online Txn
145,24,debit,365.98,2026-05-25 07:20:39,ATM/Online Txn
146,30,debit,188.48,2026-05-25 07:20:43,ATM/Online Txn
147,1,debit,3723.37,2026-05-25 07:20:45,ATM/Online Txn
148,3,debit,1281.47,2026-05-25 07:20:51,ATM/Online Txn
149,23,debit,4263.66,2026-05-25 07:20:55,ATM/Online Txn
150,13,credit,519.64,2026-05-25 07:21:09,ATM/Online Txn
151,26,debit,1246.5,2026-05-25 07:21:11,ATM/Online Txn
152,3,debit,2630.36,2026-05-25 07:21:15,ATM/Online Txn
153,33,debit,1276.0,2026-05-25 07:21:19,ATM/Online Txn
154,22,credit,4949.98,2026-05-25 07:21:25,ATM/Online Txn
155,12,credit,274.61,2026-05-25 07:21:27,ATM/Online Txn
156,23,credit,4504.98,2026-05-25 07:21:29,ATM/Online Txn
157,2,credit,2320.22,2026-05-25 07:21:31,ATM/Online Txn
